creation_date,number_of_works,total_number_of_words
2/27/2011,264,1190671
2/28/2011,210,985604
3/1/2011,238,914566
3/2/2011,219,1319777
3/3/2011,156,732571
3/4/2011,226,763995
3/5/2011,234,922368
3/6/2011,281,1867661
3/7/2011,226,970023
3/8/2011,168,558367
3/9/2011,169,553366
3/10/2011,389,1849977
3/11/2011,202,821049
3/12/2011,274,1342197
3/13/2011,347,1210140
3/14/2011,296,871852
3/15/2011,346,1732952
3/16/2011,329,956098
3/17/2011,273,1102828
3/18/2011,314,1408391
3/19/2011,219,976146
3/20/2011,430,1306411
3/21/2011,250,1352347
3/22/2011,250,1168230
3/23/2011,172,695794
3/24/2011,171,1107934
3/25/2011,251,832652
3/26/2011,211,890719
3/27/2011,258,1319909
3/28/2011,267,1149645
3/29/2011,266,1220957
3/30/2011,237,1381035
3/31/2011,219,1481737
4/1/2011,187,992036
4/2/2011,384,1886671
4/3/2011,711,2579971
4/4/2011,504,2463596
4/5/2011,399,2269669
4/6/2011,427,1537375
4/7/2011,447,1386347
4/8/2011,469,2299695
4/9/2011,503,2931872
4/10/2011,817,3505752
4/11/2011,498,2164600
4/12/2011,387,1769090
4/13/2011,511,2340857
4/14/2011,441,1453219
4/15/2011,387,1559044
4/16/2011,656,1937221
4/17/2011,852,3928315
4/18/2011,705,2659607
4/19/2011,506,2229784
4/20/2011,374,1566898
4/21/2011,407,2482460
4/22/2011,353,1861304
4/23/2011,588,3132394
4/24/2011,527,2179556
4/25/2011,432,1689000
4/26/2011,418,1378286
4/27/2011,327,1429258
4/28/2011,300,1524800
4/29/2011,303,810683
4/30/2011,300,1095988
5/1/2011,408,1690787
5/2/2011,399,1456399
5/3/2011,344,1534193
5/4/2011,598,1300907
5/5/2011,283,1560476
5/6/2011,380,1326767
5/7/2011,579,2909016
5/8/2011,411,1889857
5/9/2011,455,2186993
5/10/2011,303,1098905
5/11/2011,494,2856589
5/12/2011,325,2244564
5/13/2011,461,2491701
5/14/2011,366,1606791
5/15/2011,429,2952888
5/16/2011,345,1685873
5/17/2011,339,1542384
5/18/2011,361,1423634
5/19/2011,420,1644628
5/20/2011,461,2092176
5/21/2011,344,1664399
5/22/2011,265,1221695
5/23/2011,224,1333558
5/24/2011,251,1383295
5/25/2011,310,1641076
5/26/2011,246,929614
5/27/2011,228,1857834
5/28/2011,288,1240003
5/29/2011,371,2732656
5/30/2011,301,1822850
5/31/2011,359,2215199
6/1/2011,394,2199817
6/2/2011,436,2240978
6/3/2011,403,1666975
6/4/2011,402,2354183
6/5/2011,426,1902679
6/6/2011,243,3556816
6/7/2011,220,908023
6/8/2011,298,1809121
6/9/2011,266,1194713
6/10/2011,274,1268352
6/11/2011,301,935517
6/12/2011,279,1586539
6/13/2011,311,1155339
6/14/2011,291,1050777
6/15/2011,328,1676354
6/16/2011,263,1059440
6/17/2011,204,906631
6/18/2011,296,1066509
6/19/2011,310,1672479
6/20/2011,274,1070076
6/21/2011,288,2127421
6/22/2011,204,1181876
6/23/2011,248,883755
6/24/2011,240,1170262
6/25/2011,284,2300155
6/26/2011,314,1604505
6/27/2011,297,1375732
6/28/2011,323,1777726
6/29/2011,305,1305736
6/30/2011,386,2222880
7/1/2011,341,1274624
7/2/2011,343,1767428
7/3/2011,351,1509253
7/4/2011,503,2484968
7/5/2011,400,1549392
7/6/2011,257,1213157
7/7/2011,288,1499441
7/8/2011,362,2375035
7/9/2011,339,1657852
7/10/2011,365,1860935
7/11/2011,391,1983178
7/12/2011,524,1568482
7/13/2011,332,1145276
7/14/2011,362,2747766
7/15/2011,309,2267446
7/16/2011,317,1605914
7/17/2011,331,2247168
7/18/2011,268,1535533
7/19/2011,325,1454512
7/20/2011,315,1497353
7/21/2011,378,1765074
7/22/2011,278,1510399
7/23/2011,369,1500543
7/24/2011,314,1777206
7/25/2011,295,2097179
7/26/2011,424,1551994
7/27/2011,364,2610990
7/28/2011,654,2734755
7/29/2011,569,3150587
7/30/2011,486,2202310
7/31/2011,531,2093743
8/1/2011,453,2315556
8/2/2011,408,1625184
8/3/2011,437,2191269
8/4/2011,334,2338288
8/5/2011,425,2177043
8/6/2011,410,2173503
8/7/2011,599,1920548
8/8/2011,390,2072555
8/9/2011,444,1672454
8/10/2011,340,1539912
8/11/2011,395,2351163
8/12/2011,296,1727001
8/13/2011,300,1788432
8/14/2011,357,1537824
8/15/2011,341,1334614
8/16/2011,433,2084411
8/17/2011,505,1640018
8/18/2011,490,1992248
8/19/2011,390,2103225
8/20/2011,349,2226222
8/21/2011,338,1566263
8/22/2011,396,2141279
8/23/2011,379,1882448
8/24/2011,321,1450667
8/25/2011,275,956035
8/26/2011,321,1285603
8/27/2011,278,988464
8/28/2011,574,3465543
8/29/2011,401,2573065
8/30/2011,442,1638153
8/31/2011,344,1373321
9/1/2011,332,1532104
9/2/2011,304,1416959
