creation_date,number_of_works,total_number_of_words
2/13/2018,2433,19455440
2/14/2018,3715,25127906
2/15/2018,2781,17664737
2/16/2018,2096,18267834
2/17/2018,2351,18960550
2/18/2018,2554,22467543
2/19/2018,2363,20377498
2/20/2018,2217,18475472
2/21/2018,2005,14886830
2/22/2018,2082,15927704
2/23/2018,2011,16402877
2/24/2018,2216,19582640
2/25/2018,2425,20605025
2/26/2018,2118,16752360
2/27/2018,2084,16704130
2/28/2018,2106,17307660
3/1/2018,2156,17405723
3/2/2018,2218,18896876
3/3/2018,2207,19032919
3/4/2018,2538,20441766
3/5/2018,2146,17541755
3/6/2018,2082,17552098
3/7/2018,1987,13280912
3/8/2018,2391,15885988
3/9/2018,1988,15750592
3/10/2018,2110,18697936
3/11/2018,2007,14477511
3/12/2018,2312,18255762
3/13/2018,2165,17014778
3/14/2018,2140,18008210
3/15/2018,1977,16357327
3/16/2018,2067,15381965
3/17/2018,2195,20612072
3/18/2018,2631,22189891
3/19/2018,2252,20643910
3/20/2018,2170,17591733
3/21/2018,2224,18669873
3/22/2018,2171,17824851
3/23/2018,2097,18026793
3/24/2018,2270,19603780
3/25/2018,2555,19682050
3/26/2018,2429,20431778
3/27/2018,2174,18180494
3/28/2018,2072,17974360
3/29/2018,2079,17906681
3/30/2018,2308,19608706
3/31/2018,2296,20882948
4/1/2018,2626,21139906
4/2/2018,2611,20937431
4/3/2018,2370,19253363
4/4/2018,2132,18975005
4/5/2018,2149,16711224
4/6/2018,2069,17906151
4/7/2018,2323,20322252
4/8/2018,2563,21751305
4/9/2018,2260,17489826
4/10/2018,2071,17273488
4/11/2018,2134,19765303
4/12/2018,1906,14435131
4/13/2018,2055,17386162
4/14/2018,2216,21933865
4/15/2018,2499,20611964
4/16/2018,2224,17557461
4/17/2018,2251,17756386
4/18/2018,1978,17128209
4/19/2018,1963,17272365
4/20/2018,2024,16757322
4/21/2018,2151,18199726
4/22/2018,2553,21604272
4/23/2018,2263,19181758
4/24/2018,2649,20356955
4/25/2018,2232,17129870
4/26/2018,2097,17206060
4/27/2018,1991,15405228
4/28/2018,2552,19259834
4/29/2018,3265,24866321
4/30/2018,2279,18696417
5/1/2018,2564,24797980
5/2/2018,2242,16157792
5/3/2018,2116,16711884
5/4/2018,2189,16692837
5/5/2018,2218,15759042
5/6/2018,2442,20427565
5/7/2018,2380,19417284
5/8/2018,2147,20268038
5/9/2018,2058,17499495
5/10/2018,2033,16264517
5/11/2018,1984,16945512
5/12/2018,2088,17051037
5/13/2018,2350,19797297
5/14/2018,1916,15572704
5/15/2018,2313,18097359
5/16/2018,2126,16195481
5/17/2018,1968,16233775
5/18/2018,1986,16067385
5/19/2018,2059,16032421
5/20/2018,2411,20270071
5/21/2018,2401,20113044
